instrument,datetime,open,high,low,close,volume
9958,2023-05-02,109.5931,112.0504,108.1188,111.5589,2415222
9958,2023-05-03,110.576,116.4734,110.0846,114.0162,8063123
9958,2023-05-04,114.5076,115.982,112.0504,115.4905,3965003
9958,2023-05-05,114.9991,114.9991,112.0504,112.0504,2965814
9958,2023-05-08,113.0333,113.0333,106.153,107.1359,8149416
9958,2023-05-09,106.6444,106.6444,100.2556,101.2385,6391306
9958,2023-05-10,101.2385,104.6786,101.2385,101.7299,3221884
9958,2023-05-11,99.2727,99.7641,97.7984,98.2898,4498834
9958,2023-05-12,98.2898,98.7812,96.2257,98.2898,3264744
9958,2023-05-15,97.3069,97.9949,96.5206,96.5206,1771869
9958,2023-05-16,97.3069,98.0932,97.012,97.2086,1563782
9958,2023-05-17,97.7984,98.7812,97.012,98.2898,1715336
9958,2023-05-18,98.7812,99.2727,97.7001,97.9949,1799567
9958,2023-05-19,98.2898,98.2898,95.636,96.324,3127068
9958,2023-05-22,97.4052,102.2214,97.012,100.747,3724615
9958,2023-05-23,101.7299,102.7128,99.2727,99.2727,2437997
9958,2023-05-24,99.2727,99.2727,96.324,96.9137,4337318
9958,2023-05-25,96.9137,98.7812,96.4223,96.9137,3381621
9958,2023-05-26,97.7001,102.2214,97.1103,101.2385,5554288
9958,2023-05-29,102.7128,110.576,102.2214,107.6273,10801916
9958,2023-05-30,107.6273,110.0846,105.6615,107.6273,4839576
9958,2023-05-31,107.6273,109.1017,106.153,107.1359,2316513
9958,2023-06-01,108.1188,109.1017,106.6444,109.1017,2866842
9958,2023-06-02,109.5931,110.576,107.6273,108.1188,2197525
9958,2023-06-05,108.1188,110.0846,107.1359,107.6273,1733434
9958,2023-06-06,106.6444,109.1017,106.153,108.1188,1543941
9958,2023-06-07,109.5931,110.576,109.1017,110.576,3066801
9958,2023-06-08,111.0675,112.0504,108.1188,108.1188,2702654
9958,2023-06-09,109.1017,114.9991,108.1188,114.0162,6602520
