,instrument,datetime,open,high,low,close,volume
510,Y9999,2023-12-05,17401.59,17401.59,17252.57,17328.01,7011018000
511,Y9999,2023-12-06,17340.82,17439.85,17337.47,17360.72,6495028000
512,Y9999,2023-12-07,17356.92,17387.94,17273.71,17278.74,6960938000
513,Y9999,2023-12-08,17309.36,17465.35,17309.36,17383.99,6460484000
514,Y9999,2023-12-11,17416.96,17451.82,17372.82,17418.34,6178381000
515,Y9999,2023-12-12,17429.61,17528.72,17404.88,17450.63,6593662000
516,Y9999,2023-12-13,17447.51,17507.92,17438.69,17468.93,7022597000
517,Y9999,2023-12-14,17482.38,17668.35,17482.38,17653.11,8512618000
518,Y9999,2023-12-15,17693.33,17743.54,17642.79,17673.87,9256588000
519,Y9999,2023-12-18,17637.86,17665.91,17586.88,17652.03,7531216000
520,Y9999,2023-12-19,17669.84,17669.84,17497.32,17576.55,7179470000
521,Y9999,2023-12-20,17608.35,17657.65,17597.48,17635.2,7112769000
522,Y9999,2023-12-21,17531.45,17552.9,17442.76,17543.74,7391178000
523,Y9999,2023-12-22,17586.16,17618.17,17567.55,17596.63,6878372000
524,Y9999,2023-12-25,17596.27,17663.35,17595.27,17604.84,5771072000
525,Y9999,2023-12-26,17619.09,17751.73,17619.09,17751.73,5536355000
526,Y9999,2023-12-27,17766.73,17897.16,17766.73,17891.5,6800409000
527,Y9999,2023-12-28,17900.76,17928.14,17841.76,17910.37,6580845000
528,Y9999,2023-12-29,17893.63,17945.7,17864.23,17930.81,5813967000
529,Y9999,2024-01-02,17939.79,17956.74,17784.97,17853.76,6411778000
530,Y9999,2024-01-03,17829.28,17829.28,17518.19,17559.31,6563816000
531,Y9999,2024-01-04,17574.39,17609.89,17515.73,17549.65,6326304000
532,Y9999,2024-01-05,17559.4,17606.79,17495.39,17519.14,6072525000
533,Y9999,2024-01-08,17534.52,17688.11,17534.52,17572.66,6306940000
534,Y9999,2024-01-09,17585.4,17694.26,17517.55,17535.49,6232655000
535,Y9999,2024-01-10,17495.67,17499.43,17439.27,17465.63,5764346000
536,Y9999,2024-01-11,17477.88,17574.92,17476.87,17545.32,6087970000
537,Y9999,2024-01-12,17536.05,17570.63,17469.87,17512.83,5783781000
538,Y9999,2024-01-15,17541.26,17632.77,17532.98,17546.82,5999846000
